,X1,X2,X3,X4,X5,Y
57,0.999902351,0,0.008253424,0.002682363,0.000619007,0.010935787
58,0.999631215,0.000685932,0.017376938,0.002515083,0.002286439,0.020577953
59,0.999996861,4.71E-05,0.001637504,0.00020027,3.53E-05,0.001884897
60,0.999983546,0.00028621,0.003613407,0.000500868,0.000393539,0.004400486
61,0.999999129,4.86E-05,0.00087523,6.08E-05,1.22E-05,0.000984634
62,0.999983678,0.000211154,0.003779659,0.0002745,0.000211154,0.004265313
63,0.999991914,4.88E-05,0.00267371,0.000268592,3.66E-05,0.002991137
64,0.999844642,0.000382058,0.011461727,0.001337201,0.001910288,0.013180986
65,0.999724175,0.003080065,0.012482368,0.003728499,0.000486326,0.019290932
66,0.99983806,0,0.011648599,0.001698754,0.002669471,0.013347353
67,0.999936885,0.000213229,0.007431027,0.000746301,3.20E-05,0.008390557
68,0.999731975,0,0.013617526,0.004367886,0.002826279,0.017985412
69,0.999687446,0.001178281,0.014139375,0.004713125,0.000504978,0.020030781
70,0.99999775,6.79E-05,0.001416785,8.73E-05,9.70E-05,0.001572049
71,0.999994738,7.71E-05,0.00203676,0.000381042,1.36E-05,0.002494918
72,0.99976164,0.000183308,0.0138092,0.002688517,0.000672129,0.016681025
73,0.99997966,0.000303985,0.00373467,0.00102052,4.34E-05,0.005059175
74,0.999987371,6.61E-05,0.00327431,0.00042996,0.000363812,0.003770417
75,0.999954348,0.000291489,0.005990107,0.001078511,2.91E-05,0.007360107
76,0.99999965,0,0,0,0.00083612,0
77,0.999997588,6.78E-05,0.001439698,0.000135501,0.000169376,0.00164295
78,0.999525683,0,0.02017788,0.002882554,0.001080958,0.023060434
79,0.999982957,0.00023438,0.003398512,0.000820331,0.001406281,0.004453223
80,0.999972029,0.000112186,0.004824008,0.000729211,0.000168279,0.005665405
81,0.998650446,0.001616085,0.033219515,0.004758471,0.000897825,0.039594071
82,0.999391837,0.000543561,0.02065533,0.006196599,0.000326137,0.02739549
83,0.999620329,0.000344756,0.017410183,0.003275183,0.001723781,0.021030122
84,0.999930713,0.000152754,0.007561346,0.001222036,0.000152754,0.008936136
85,0.999186271,0.00190539,0.026675453,0.001524312,0.001714851,0.030105155
86,0.999992595,3.65E-05,0.002373155,0.000565906,5.48E-05,0.002975571
87,0.998650268,0.000376612,0.033895107,0.004770422,0.001255374,0.039042141
88,0.99984639,0.00105692,0.010569201,0.00211384,0.00105692,0.013739961
89,0.999622043,0.000330126,0.01766175,0.002806072,0.001815694,0.020797949
90,0.999894412,0.00034905,0.008887354,0.002067451,8.06E-05,0.011303855
91,0.999646434,0,0.017155648,0.002859275,0.001979498,0.020014923
92,0.998796577,0.000966266,0.032316217,0.003435611,0.000322089,0.036718094
93,0.999185625,0.000471425,0.026164096,0.003771401,0.002121413,0.030406923
94,0.999227687,0.0004043,0.025066606,0.004447301,0.0008086,0.029918207
95,0.999114821,0.000869703,0.026612912,0.004696396,0.001739406,0.032179011
96,0.999464027,0.001176763,0.020004971,0.004314798,0.001176763,0.025496531
97,0.999375661,0.000191085,0.021974799,0.004968216,0.002101937,0.0271341
98,0.999804551,0.000280878,0.012438873,0.002447649,0.000120376,0.015167401
99,0.99968633,0.000547948,0.014977258,0.004109614,0.000456624,0.01963482
100,0.999993269,0,0,0,0.003668952,0
101,0.999776804,0.000247677,0.014336688,0.000904974,2.86E-05,0.015489339
102,0.999478782,0.000629791,0.019838426,0.004408539,0.003148956,0.024876756
103,0.999962146,0,0.005109869,0.001572268,0.001572268,0.006682137
104,0.9998517,0.000730886,0.010780565,0.001644493,0.002009936,0.013155943
105,0.999910974,0.000375822,0.008545483,0.001243793,3.58E-05,0.010165098
106,0.999202466,0.001245371,0.02504579,0.004427985,0.00152212,0.030719145
107,0.999875843,0.00086919,0.009867869,0.001431608,0.000204515,0.012168667
108,0.999052144,0.001564861,0.027943951,0.003576826,0.002011964,0.033085638
109,0.999918462,0.000145612,0.007899458,0.001820152,0.000109209,0.009865221
110,0.999922907,0.000547153,0.007660148,0.001094307,0.002735767,0.009301608
111,0.997245017,0,0.073282758,0.010878703,0.003696923,0
112,0.999180805,0.000886191,0.025921098,0.003987861,0.000886191,0.030795151
113,0.999519842,0.000491165,0.019400999,0.003929316,0.000736747,0.02382148
114,0.999954549,0,0.005456282,0.000727504,0.004728777,0.006183786
115,0.999959329,0,0.002550917,0.001275458,0.00765275,0.003826375
116,0.999940008,1.74E-05,0.007498854,0.000452367,0.000208785,0.00796862
117,0.999942003,0,0.005094319,0,0.008005358,0.005094319
118,0.999952537,0,0.004458387,0.001273825,0.006369124,0.005732212
119,0.999958779,0,0.00381421,0.001271403,0.006357017,0.005085614
120,0.999696418,0,0.001943045,0.022870699,0.0087437,0.001943045
121,0.9999516,0.000196622,0.006095268,0.00131081,0.000294932,0.007602699
122,0.999964205,0.000912376,0.000912376,0.001824752,0.007299009,0.003649504
123,0.999956848,0.000933667,0.002801,0.001867333,0.006535666,0.005601999
124,0.999791679,0,0.005446336,0.018316103,0.004668288,0.005446336
125,0.9999483,0,0.005644869,0.00161282,0.00403205,0.007257689
126,0.998876262,0.000450824,0.0297544,0.006161265,0.000450824,0.036366489
127,0.999915727,0,0.006236481,0.000692942,0.00900825,0.006929423
128,0.999915454,0,0.003580718,0.000895179,0.011637333,0.004475897
129,0.999964477,0,0.001986684,0,0.007946738,0.001986684
130,0.999948377,0,0.004781582,0.001195396,0.006574676,0.005976978
131,0.99999824,0,0.000849616,0.000364121,0.001092364,0.001213737
132,0.999912388,0.000863482,0.006044375,0.001726964,0.00777134,0.008634822
133,0.999906875,0,0.008263693,0.000751245,0.006009959,0.009014938
134,0.999592773,0.001277435,0.017884088,0.00255487,0.003832305,0.021716393
135,0.999932602,0,0.007311167,0.001566679,0.000261113,0.008877845
136,0.999979431,0,0.003381522,0.001690761,0.001056726,0.005072283
137,0.999776488,0.001647757,0.013182055,0.001235818,0.003295514,0.01606563
138,0.999930744,0,0.007498609,0.001453219,0.000174386,0.008951827
139,0.999889544,0.000464147,0.008934838,0.0022047,0.001160369,0.011603685
140,0.999999399,6.53E-05,0.000622461,0.000191527,1.31E-05,0.000879281
141,0.999906537,7.79E-05,0.008843559,0.001402503,0.000389584,0.010323979
142,0.999754287,0.001000354,0.014321742,0.001500532,3.33E-05,0.016822628
143,0.999889497,0.000252823,0.009531425,0.001516938,0.000252823,0.011301186
144,0.999999884,2.14E-05,0.000291956,6.41E-05,2.14E-05,0.000377407
145,0.999937142,0.000543444,0.006883625,0.001268036,0.00090574,0.008695106
146,0.999980796,0,0.004205527,0.000333772,6.68E-05,0.004539299
147,0.999505137,0,0.020192023,0.003533604,0.002524003,0.023725627
148,0.999936059,0.000144981,0.007152411,0.001353159,0.000193308,0.008650551
