CO_GT ;konsentrasi_CO ;konsentrasi_NMHC;konsentrasi_C6H6;konsentrasi_NMHC ;konsentrasi_NO;konsentrasi_Nox;konsentrasi_NO2;konsentrasi_NO2 ;konsentrasi_O3;konsentrasi_RH ;konsentrasi_AH 
3;1.252;140;11;1.016;160;1.008;116;1.593;983;35;1
3;1.287;169;13;1.078;163;949;123;1.660;1.061;36;1
3;1.353;185;14;1.122;190;922;126;1.740;1.139;37;1
3;1.309;165;13;1.073;178;954;120;1.657;1.112;37;1
2;1.274;133;12;1.041;150;1.006;119;1.610;994;34;1
4;1.510;233;19;1.277;206;812;149;1.910;1.410;40;1
4;1.525;242;18;1.246;202;821;145;1.847;1.448;43;1
7;1.843;488;33;1.610;340;624;170;2.390;1.887;51;1
4;1.598;333;20;1.299;274;752;149;1.941;1.627;53;1
4;1.484;215;14;1.127;253;839;139;1.723;1.491;59;1
5;1.677;367;22;1.346;300;741;134;2.062;1.657;65;1
3;1.280;122;10;964;193;963;113;1.544;1.285;64;1
2;1.196;67;7;873;139;1.071;97;1.463;1.144;64;1
2;1.184;43;5;782;83;1.176;82;1.365;1.043;64;1
2;1.172;46;5;783;-200;1.179;-200;1.380;996;68;1
-200;1.147;56;6;821;109;1.132;83;1.412;992;71;1
1;978;30;3;625;62;1.420;65;1.274;819;64;1
1;1.100;27;3;646;53;1.406;60;1.268;835;68;1
2;1.112;47;5;770;139;1.228;77;1.409;940;72;1
3;1.336;132;12;1.043;256;935;96;1.678;1.192;72;1
4;1.408;239;15;1.153;295;830;119;1.777;1.411;60;1
;1.447;160;13;1.081;250;869;126;1.667;1.465;51;1
4;1.542;283;16;1.184;296;808;158;1.780;1.583;42;1
4;1.451;210;14;1.117;239;875;161;1.679;1.387;34;1
3;1.328;154;12;1.059;153;987;124;1.600;1.101;31;1
2;1.207;112;9;924;118;1.088;102;1.488;850;35;1
2;1.240;108;9;947;119;1.049;116;1.532;947;34;1
3;1.306;111;10;987;138;1.004;124;1.554;1.078;35;1
2;1.326;97;11;1.000;148;976;125;1.602;1.084;38;1
3;1.473;191;16;1.163;227;831;148;1.779;1.395;41;1
4;1.609;258;20;1.286;277;758;165;1.922;1.612;42;1
4;1.611;284;19;1.274;279;754;161;1.915;1.697;44;1
4;1.621;269;18;1.247;283;762;159;1.860;1.886;47;1
3;1.444;180;13;1.089;214;844;143;1.748;1.624;49;1
3;1.418;116;11;1.010;172;892;130;1.603;1.536;49;1
3;1.534;93;11;1.013;190;889;129;1.611;1.535;54;1
3;1.484;131;12;1.045;174;880;119;1.624;1.530;52;1
3;1.367;92;9;925;128;953;104;1.543;1.337;59;1
2;1.344;132;10;968;-200;921;-200;1.620;1.278;63;1
-200;1.130;56;5;773;70;1.130;82;1.452;1.051;61;1
1;1.062;32;4;691;53;1.272;70;1.377;929;63;1
1;1.076;29;3;618;44;1.395;63;1.333;872;62;1
1;1.028;27;2;615;74;1.384;67;1.340;853;68;1
1;1.155;36;4;722;101;1.225;84;1.414;959;63;1
2;1.235;57;6;828;118;1.055;83;1.527;1.093;60;1
2;1.332;129;9;923;144;952;98;1.614;1.225;53;1
3;1.445;148;11;1.009;176;878;114;1.696;1.355;46;1
3;1.416;145;11;1.002;161;907;119;1.677;1.262;38;1
2;1.281;93;8;880;113;1.084;104;1.525;980;31;1
2;1.207;84;8;879;103;1.104;102;1.490;872;30;1
2;1.258;99;8;906;112;1.081;107;1.511;900;29;1
3;1.458;150;12;1.045;170;974;129;1.646;1.099;28;1
3;1.438;156;12;1.051;180;943;128;1.668;1.206;31;1
;1.478;122;12;1.055;160;929;121;1.671;1.262;37;1
5;1.808;262;21;1.312;261;753;157;1.993;1.698;42;1
6;1.898;341;23;1.381;325;681;173;2.103;1.905;46;1
3;1.560;214;15;1.140;217;784;146;1.818;1.648;50;1
2;1.324;100;9;940;146;924;121;1.587;1.423;51;1
2;1.349;79;9;933;152;933;119;1.617;1.349;56;1
2;1.239;66;7;872;104;985;99;1.547;1.250;55;1
2;1.239;73;7;853;106;1.010;93;1.543;1.174;57;1
2;1.224;66;7;855;108;998;88;1.566;1.149;61;1
1;1.078;44;4;734;-200;1.128;-200;1.487;1.021;64;1
-200;1.078;44;4;711;66;1.150;71;1.468;1.013;65;1
1;1.075;39;4;703;88;1.156;74;1.464;1.010;67;1
1;1.157;51;6;830;138;1.030;80;1.584;1.083;71;1
2;1.314;107;10;966;228;897;89;1.710;1.235;70;1
6;1.797;336;26;1.451;360;652;114;2.323;1.680;64;1
8;1.961;618;37;1.701;478;537;149;2.665;2.184;54;1
6;1.771;438;27;1.470;394;622;157;2.262;1.973;46;1
4;1.564;334;20;1.300;319;710;155;2.029;1.798;39;1
3;1.430;221;14;1.120;201;831;134;1.783;1.522;34;1
3;1.417;207;15;1.146;171;830;119;1.831;1.404;32;1
3;1.400;191;15;1.162;159;838;111;1.829;1.263;30;1
3;1.317;185;12;1.053;153;926;104;1.707;1.137;29;1
2;1.318;141;12;1.033;143;950;99;1.675;1.068;29;1
3;1.445;214;15;1.141;156;857;110;1.824;1.252;31;1
6;1.917;471;32;1.601;314;631;162;2.447;1.843;35;1
8;2.040;685;39;1.754;404;542;187;2.679;2.122;43;1
7;1.895;538;31;1.573;320;565;165;2.443;1.992;53;1
4;1.595;319;20;1.294;256;678;145;2.058;1.707;57;1
3;1.439;224;15;1.159;193;764;125;1.856;1.494;60;1
1;1.142;67;7;852;89;1.008;101;1.547;1.164;61;1
2;1.304;155;11;1.019;127;852;103;1.731;1.272;66;1
1;1.074;49;5;784;79;1.098;88;1.483;1.040;61;1
1;968;29;3;640;43;1.320;61;1.386;867;59;1
1;929;25;2;608;-200;1.376;-200;1.364;826;62;1
-200;941;25;3;626;59;1.316;59;1.373;840;66;1
1;937;17;2;585;38;1.412;52;1.348;793;63;1
1;1.017;27;4;681;82;1.246;64;1.418;870;69;1
1;1.171;50;5;770;99;1.162;70;1.467;930;67;1
3;1.541;218;16;1.185;263;770;97;1.889;1.407;64;1
4;1.539;285;20;1.287;229;698;95;2.055;1.507;56;1
5;1.735;437;25;1.431;396;628;150;2.211;1.843;43;1
4;1.571;327;20;1.297;314;730;162;1.973;1.729;33;1
3;1.452;283;18;1.250;217;776;154;1.868;1.583;27;1
4;1.579;366;22;1.359;252;724;161;1.998;1.671;26;1
4;1.466;318;20;1.309;263;773;161;1.897;1.491;23;1
3;1.280;228;15;1.136;180;893;128;1.675;1.240;20;1
3;1.407;201;17;1.197;184;905;129;1.759;1.313;19;1
3;1.389;199;16;1.173;190;898;133;1.739;1.363;19;1
3;1.447;237;18;1.235;184;859;139;1.778;1.296;26;1
4;1.551;261;19;1.271;181;800;137;1.875;1.432;35;1
3;1.474;230;16;1.173;166;854;143;1.776;1.432;37;1
5;1.800;349;25;1.426;317;700;177;2.106;2.034;41;1
;1.379;183;14;1.101;184;818;138;1.710;1.602;46;1
2;1.201;88;9;943;130;935;117;1.560;1.362;49;1
2;1.205;85;9;925;132;922;107;1.547;1.314;53;1
1;1.072;47;5;784;95;1.066;90;1.442;1.114;52;1
1;998;34;4;714;70;1.169;79;1.383;992;56;1
1;933;26;3;625;-200;1.292;-200;1.332;884;58;1
-200;883;17;2;577;54;1.396;60;1.303;808;58;1
1;869;11;2;554;28;1.460;40;1.268;667;58;1
1;891;18;2;576;46;1.417;53;1.289;733;57;1
2;1.173;84;8;878;160;1.038;84;1.556;1.052;65;1
4;1.587;260;21;1.334;320;702;108;1.999;1.534;60;1
7;1.852;534;36;1.696;377;553;127;2.535;1.931;50;1
4;1.522;368;21;1.331;280;703;134;2.026;1.734;40;1
3;1.438;200;15;1.161;221;819;135;1.782;1.595;33;1
3;1.393;145;13;1.067;210;905;142;1.654;1.490;28;1
3;1.452;188;15;1.152;204;861;153;1.747;1.508;26;1
3;1.389;152;14;1.108;161;887;123;1.712;1.334;26;1
2;1.207;103;10;994;135;1.013;104;1.520;1.045;19;1
3;1.365;193;15;1.154;186;940;129;1.679;1.221;16;1
3;1.247;134;12;1.060;147;1.032;114;1.525;1.069;15;1
5;1.557;386;27;1.478;299;793;158;1.981;1.569;16;1
8;1.973;577;38;1.737;411;617;194;2.414;2.306;27;1
7;1.975;523;35;1.667;347;597;182;2.416;2.359;38;1
6;1.795;472;27;1.485;336;653;180;2.174;2.050;43;1
3;1.444;206;15;1.150;202;770;136;1.727;1.727;44;1
3;1.488;216;16;1.171;178;731;127;1.778;1.705;51;1
2;1.371;159;13;1.083;154;796;116;1.669;1.551;54;1
1;1.161;70;8;904;92;947;107;1.502;1.240;55;1
1;1.064;44;6;787;61;1.057;88;1.407;1.115;52;1
1;970;42;4;687;-200;1.196;-200;1.351;969;54;1
-200;954;28;3;645;60;1.260;78;1.334;925;62;1
1;931;20;3;623;37;1.293;57;1.307;828;59;1
;938;26;3;650;68;1.251;71;1.333;893;62;1
2;1.166;78;8;885;139;1.005;85;1.551;1.075;63;1
5;1.643;319;23;1.384;339;667;124;2.094;1.610;60;1
7;1.934;506;36;1.682;421;541;151;2.468;2.051;51;1
5;1.617;-200;21;1.333;349;686;150;2.010;1.819;41;1
3;1.473;-200;14;1.127;224;831;152;1.752;1.568;34;1
2;1.379;-200;13;1.068;171;899;139;1.663;1.374;28;1
2;1.385;-200;12;1.056;149;891;133;1.648;1.268;29;1
2;1.379;-200;13;1.087;137;901;126;1.660;1.144;25;1
2;1.322;-200;14;;149;934;128;1.639;1.109;18;1
3;1.496;-200;17;1.205;172;822;169;1.767;1.347;23;1
3;1.409;-200;15;1.131;166;873;149;1.689;1.206;24;1
4;1.513;-200;22;1.338;214;764;156;1.957;1.397;27;1
5;1.667;-200;26;1.464;280;683;168;2.118;1.588;31;1
5;1.667;-200;26;1.453;276;684;176;2.051;1.569;36;1
3;1.430;-200;14;1.121;178;814;135;1.732;1.322;48;1
2;1.333;-200;10;989;129;885;121;1.621;1.194;58;1
2;1.262;-200;8;911;95;948;99;1.545;1.062;64;1
2;1.287;-200;9;936;126;918;106;1.606;1.040;70;1
2;1.134;-200;7;840;103;1.021;96;1.501;917;71;1
1;999;-200;4;688;48;1.229;63;1.380;594;69;1
1;961;-200;3;622;-200;1.382;-200;1.301;430;68;1
-200;934;-200;2;569;20;1.440;32;1.280;397;68;1
1;913;-200;1;525;18;1.620;28;1.260;370;67;1
1;969;-200;2;607;56;1.373;61;1.324;438;66;1
2;1.182;-200;7;845;115;1.054;99;1.539;704;65;1
5;1.740;-200;23;1.372;320;671;157;2.144;1.476;62;1
6;1.819;-200;31;1.582;357;575;166;2.456;1.716;59;1
4;1.427;-200;19;1.275;253;701;149;1.980;1.398;57;1
;1.390;-200;16;1.191;218;759;135;1.879;1.268;54;1
3;1.283;-200;14;1.117;192;813;127;1.751;1.188;50;1
3;1.304;-200;15;1.157;176;793;122;1.801;1.171;48;1
3;1.364;-200;17;1.202;198;771;135;1.875;1.250;47;1
4;1.410;-200;19;1.268;212;724;139;1.957;1.344;48;1
4;1.476;-200;19;1.280;249;708;147;1.955;1.378;50;1
5;1.522;-200;21;1.320;270;690;158;2.005;1.435;51;1
4;1.442;-200;20;1.301;231;704;146;1.952;1.372;50;1
5;1.469;-200;22;1.344;251;677;144;1.997;1.471;51;1
4;1.467;-200;20;1.292;210;698;138;1.942;1.439;51;1
4;1.421;-200;17;1.202;249;748;143;1.854;1.429;53;1
2;1.175;-200;9;945;143;904;116;1.604;1.081;58;1
2;1.215;-200;8;912;127;948;109;1.547;993;58;1
2;1.127;-200;6;802;104;1.064;92;1.447;837;58;1
2;1.090;-200;5;773;86;1.105;83;1.429;761;56;1
1;1.017;-200;4;718;74;1.182;81;1.382;650;56;1
1;997;-200;3;677;-200;1.252;-200;1.359;591;55;1
-200;945;-200;3;646;44;1.308;55;1.332;505;55;1
1;956;-200;3;661;42;1.260;53;1.351;518;55;1
1;966;-200;3;622;63;1.317;67;1.342;571;59;1
1;1.064;-200;4;728;115;1.161;91;1.461;842;58;1
2;1.300;-200;9;935;170;902;113;1.623;1.145;58;1
2;1.348;-200;11;998;147;834;102;1.689;1.218;53;1
3;1.425;-200;13;1.068;166;776;107;1.764;1.341;52;1
3;1.474;-200;12;1.061;195;768;113;1.768;1.406;52;1
3;1.490;-200;12;1.039;182;782;108;1.757;1.422;50;1
3;1.495;-200;12;1.040;168;809;105;1.735;1.373;48;1
2;1.376;-200;9;953;125;900;93;1.636;1.153;43;1
2;1.305;-200;8;884;95;980;87;1.573;927;42;1
2;1.283;-200;7;844;79;1.036;76;1.539;766;42;1
2;1.392;-200;10;967;119;930;94;1.649;941;44;1
2;1.452;-200;12;1.063;142;856;110;1.774;1.146;46;1
4;1.633;-200;17;1.199;215;734;136;1.919;1.417;52;1
4;1.625;-200;16;1.191;229;733;139;1.885;1.442;51;1
3;1.535;-200;14;1.108;206;785;125;1.820;1.323;54;1
2;1.323;-200;10;973;147;864;111;1.712;1.125;55;1
2;1.309;-200;9;937;122;905;97;1.672;1.036;58;1
3;1.456;-200;11;999;175;835;107;1.714;1.202;59;1
2;1.300;-200;7;872;133;941;90;1.577;1.054;61;1
2;1.203;-200;6;823;89;1.004;84;1.526;903;57;1
2;1.195;-200;7;836;-200;987;-200;1.554;885;58;1
-200;1.117;-200;6;802;85;1.029;87;1.539;818;58;1
1;1.062;-200;4;711;55;1.136;66;1.461;700;61;1
1;947;-200;2;594;24;1.300;36;1.390;580;63;1
1;1.065;-200;4;687;72;1.143;62;1.492;815;66;1
1;1.155;-200;4;734;122;1.062;91;1.528;1.035;65;1
1;1.220;-200;5;782;111;996;89;1.560;1.067;62;1
2;1.301;-200;7;862;123;914;93;1.633;1.114;59;1
2;1.279;-200;7;870;106;911;81;1.646;1.000;50;1
2;1.267;-200;8;883;103;953;82;1.617;906;46;1
2;1.239;-200;7;848;102;981;80;1.568;822;42;1
1;1.128;-200;5;742;48;1.144;48;1.507;610;40;1
2;1.243;-200;8;916;63;962;61;1.669;657;39;1
2;1.208;-200;7;853;98;1.060;89;1.506;647;38;1
2;1.306;-200;9;938;132;961;105;1.607;762;41;1
4;1.546;-200;15;1.151;173;769;116;1.874;1.122;44;1
4;1.501;-200;13;1.071;185;823;119;1.744;1.130;48;1
4;1.605;-200;15;1.153;266;769;144;1.840;1.637;47;1
3;1.316;-200;10;974;188;883;123;1.673;1.272;49;1
2;1.195;-200;8;898;122;933;105;1.594;1.098;52;1
2;1.211;-200;8;896;112;920;93;1.624;1.066;55;1
2;1.161;-200;6;815;93;995;86;1.582;909;60;1
2;1.095;-200;5;767;74;1.050;76;1.547;818;61;1
1;897;-200;2;563;23;1.417;33;1.355;472;57;1
0;842;-200;1;468;-200;1.813;-200;1.274;394;54;1
-200;854;-200;1;481;17;1.756;27;1.304;396;56;1
0;845;-200;1;472;15;1.786;23;1.278;378;54;1
1;942;-200;2;586;41;1.480;46;1.373;432;54;1
1;1.090;-200;5;768;86;1.072;76;1.538;699;58;1
4;1.514;-200;18;1.230;226;732;116;1.996;1.252;54;1
4;1.379;-200;18;1.252;214;711;115;1.962;1.237;42;1
2;1.074;-200;7;854;115;1.032;83;1.484;772;38;1
2;1.090;-200;7;868;124;1.026;87;1.509;766;37;1
2;1.110;-200;10;964;122;947;90;1.577;829;30;1
2;1.102;-200;10;994;107;955;87;1.599;783;28;1
2;1.100;-200;11;1.021;133;952;99;1.607;822;26;1
2;1.094;-200;11;1.003;130;965;99;1.574;813;27;1
2;1.076;451;12;1.034;150;964;101;1.544;813;24;1
3;1.152;185;12;1.062;138;928;103;1.606;850;29;1
4;1.407;426;18;1.249;213;720;129;1.932;1.276;43;1
4;1.438;672;21;1.325;232;678;143;1.993;1.401;47;1
5;1.425;624;21;1.325;238;678;146;1.965;1.356;47;1
3;1.279;325;15;1.131;180;775;124;1.758;1.243;50;1
2;1.132;143;8;916;128;920;113;1.561;1.083;52;1
1;1.006;89;4;729;65;1.142;80;1.370;795;49;1
1;982;73;4;700;53;1.204;72;1.359;735;51;1
1;969;48;3;636;47;1.271;64;1.309;684;51;1
1;941;47;3;621;51;1.298;70;1.330;714;57;1
1;892;36;1;522;-200;1.522;-200;1.285;456;70;1
-200;855;25;1;478;20;1.701;31;1.261;401;77;1
0;834;19;1;459;13;1.908;22;1.212;361;81;1
1;909;26;2;567;33;1.542;47;1.287;418;75;1
1;1.061;60;5;745;103;1.178;88;1.429;616;75;1
3;1.441;248;14;1.124;224;851;130;1.829;1.089;74;1
4;1.498;535;21;1.325;244;684;132;2.095;1.329;70;1
3;1.343;340;16;1.185;237;760;132;1.857;1.311;63;1
3;1.308;325;16;1.166;220;792;131;1.794;1.236;56;1
3;1.209;267;13;1.097;207;837;129;1.746;1.147;55;1
4;1.310;325;17;1.207;208;770;132;1.847;1.301;53;1
3;1.171;268;12;1.064;160;881;110;1.639;1.097;42;1
2;1.112;136;10;980;131;924;99;1.589;900;50;1
2;1.132;118;9;927;128;944;100;1.570;781;61;1
3;1.225;276;14;1.111;176;818;122;1.719;1.013;55;1
2;1.065;151;9;953;107;962;97;1.514;790;50;1
3;1.236;236;13;1.084;131;854;112;1.688;1.059;57;1
3;1.309;220;14;1.126;166;812;128;1.722;1.205;58;1
2;1.089;87;8;884;89;1.006;101;1.487;975;54;1
1;1.000;81;5;776;81;1.141;96;1.375;896;55;1
1;1.041;74;5;782;78;1.105;86;1.425;911;61;1
1;1.045;55;5;756;70;1.137;85;1.411;902;62;1
1;997;74;5;744;76;1.151;79;1.405;832;63;1
1;948;35;3;634;43;1.320;61;1.326;715;60;1
1;878;29;2;551;-200;1.493;-200;1.272;683;62;1
-200;908;29;2;559;44;1.477;66;1.287;721;63;1
1;892;20;1;522;34;1.572;54;1.255;648;59;1
1;954;32;2;561;43;1.496;57;1.255;612;57;1
1;1.045;84;5;751;79;1.186;75;1.403;800;59;1
3;1.383;245;14;1.109;174;832;97;1.706;1.173;57;1
4;1.597;553;24;1.395;235;652;110;2.080;1.519;57;1
3;1.318;450;14;1.124;218;762;113;1.770;1.287;55;1
2;1.138;118;8;898;136;950;88;1.505;966;44;1
2;1.098;118;7;842;117;1.012;85;1.440;828;41;1
2;1.118;144;9;927;119;959;96;1.477;825;35;1
2;1.170;159;11;1.009;126;879;106;1.566;872;36;1
-200;1.112;122;7;842;100;1.015;91;1.494;680;64;1
3;1.390;230;11;1.028;197;829;126;1.730;1.002;81;1
3;1.353;320;13;1.096;195;774;130;1.783;1.159;69;1
3;1.260;263;12;1.050;156;828;111;1.722;979;69;1
5;1.501;556;20;1.302;247;681;134;2.008;1.311;67;1
4;1.273;458;14;1.130;190;795;136;1.744;1.071;66;1
3;1.179;214;9;955;169;928;125;1.571;899;66;1
2;1.047;97;6;809;118;1.064;108;1.435;766;67;1
1;973;79;5;739;81;1.186;87;1.354;589;61;1
1;997;81;5;737;80;1.168;89;1.341;631;60;1
1;970;52;3;621;42;1.400;58;1.249;479;58;1
1;902;38;2;568;38;1.450;54;1.253;479;68;1
1;921;35;1;538;-200;1.564;-200;1.224;417;68;1
1;858;29;1;490;18;1.707;28;1.212;378;72;1
1;878;21;1;457;12;1.935;20;1.158;344;67;1
1;893;46;1;540;43;1.604;51;1.268;413;83;1
1;1.038;55;4;697;84;1.260;82;1.383;605;79;1
3;1.320;271;12;1.035;184;902;112;1.721;991;75;1
4;1.353;434;18;1.235;202;740;119;1.937;1.175;75;1
2;1.133;300;9;933;133;969;99;1.552;923;70;1
2;1.066;116;7;849;130;1.039;98;1.468;829;64;1
1;1.027;95;6;809;106;1.081;88;1.442;733;53;1
2;1.106;211;9;935;132;958;96;1.570;819;48;1
2;1.038;168;8;907;106;976;81;1.492;723;46;1
2;1.084;154;9;924;125;986;92;1.501;786;41;1
2;1.105;267;10;982;138;939;105;1.545;850;35;1
2;1.102;143;9;957;120;968;88;1.527;820;37;1
3;1.240;374;15;1.137;158;836;103;1.748;991;41;1
5;1.443;797;25;1.418;253;666;141;2.060;1.454;48;1
5;1.389;698;22;1.341;231;692;133;1.982;1.488;53;1
3;1.183;234;10;989;150;904;119;1.539;1.205;53;1
2;1.014;104;6;798;99;1.083;106;1.376;909;56;1
1;979;67;5;736;75;1.154;92;1.324;769;60;1
2;1.048;88;6;787;93;1.098;97;1.373;835;61;1
1;1.024;79;5;753;79;1.131;91;1.357;793;62;1
1;974;61;4;690;67;1.208;83;1.313;733;63;1
1;862;43;2;561;-200;1.449;-200;1.219;502;69;1
1;925;40;2;602;45;1.398;59;1.263;562;69;1
1;952;52;3;654;72;1.210;73;1.312;832;72;1
1;1.005;64;4;713;103;1.130;78;1.363;924;72;1
2;1.122;88;7;842;132;1.015;90;1.438;974;66;1
3;1.351;375;17;1.201;239;783;110;1.828;1.307;60;1
4;1.408;592;19;1.278;275;682;114;1.928;1.481;57;1
3;1.304;357;15;1.142;232;772;119;1.747;1.405;44;1
3;1.207;296;13;1.098;180;826;121;1.664;1.195;35;1
2;1.099;181;11;1.014;112;948;97;1.503;868;27;1
2;1.106;211;13;1.068;116;915;99;1.535;874;26;1
2;1.009;199;8;916;103;1.015;85;1.391;738;31;1
1;962;81;5;776;89;1.152;75;1.279;550;37;1
2;1.093;143;9;933;112;976;87;1.454;777;41;1
2;1.180;247;11;1.023;127;886;102;1.588;966;43;1
2;1.168;239;12;1.037;125;868;105;1.580;990;46;1
3;1.168;267;12;1.063;120;876;98;1.540;944;48;1
3;1.140;261;11;1.000;120;916;93;1.490;962;51;1
2;1.001;97;6;811;99;1.097;91;1.308;778;51;1
1;953;66;5;743;79;1.185;85;1.252;690;50;1
1;972;60;4;715;66;1.237;74;1.258;644;50;1
2;1.021;77;5;776;94;1.144;87;1.307;753;53;1
1;940;57;3;664;70;1.290;79;1.232;646;58;1
1;1.046;65;5;736;75;1.142;78;1.312;838;62;1
1;1.026;59;4;699;-200;1.191;-200;1.292;851;64;1
-200;983;48;4;698;57;1.209;63;1.296;801;65;1
1;915;27;2;578;32;1.417;48;1.212;665;59;1
1;935;25;2;615;54;1.373;;1.250;717;67;1
1;976;42;3;669;68;1.270;65;1.266;795;63;1
2;1.124;78;7;842;98;1.050;71;1.418;936;64;1
2;1.163;128;9;919;128;922;84;1.530;1.076;51;1
2;1.167;184;10;966;129;942;93;1.520;1.016;36;1
2;1.121;156;9;955;130;992;99;1.451;834;29;1
2;1.071;176;9;940;111;994;93;1.449;756;30;1
2;1.065;232;10;979;106;950;96;1.467;766;27;1
3;1.157;305;13;1.072;137;888;114;1.596;905;29;1
2;1.046;150;8;883;113;1.051;101;1.357;765;28;1
2;1.147;188;12;1.042;122;934;108;1.538;830;26;1
2;1.119;221;11;1.022;137;916;117;1.508;853;31;1
3;1.210;219;12;1.062;165;886;125;1.586;981;36;1
3;1.306;306;13;1.079;196;827;133;1.621;1.286;40;1
3;1.258;270;12;1.057;174;841;119;1.633;1.244;45;1
2;1.148;231;9;930;140;948;107;1.475;1.056;48;1
2;1.108;125;7;848;102;1.023;96;1.421;1.003;51;1
2;1.231;122;9;924;130;906;105;1.483;1.245;56;1
2;1.293;161;9;937;121;930;102;1.464;1.200;56;1
2;1.274;101;8;912;111;939;97;1.451;1.188;58;1
2;1.135;95;6;827;87;1.013;79;1.395;1.070;62;1
2;1.151;129;8;911;-200;935;-200;1.501;1.075;67;1
1;1.010;96;5;769;77;1.110;69;1.396;895;65;1
1;870;54;3;626;39;1.325;52;1.284;755;59;1
1;983;63;4;688;77;1.251;62;1.342;806;66;1
1;995;72;4;691;91;1.219;69;1.321;836;68;1
1;1.024;91;5;747;105;1.136;75;1.382;897;59;1
2;1.163;127;8;880;133;959;83;1.486;1.073;50;1
2;1.218;193;9;938;128;918;94;1.501;1.088;37;1
2;1.210;188;10;958;126;933;96;1.514;1.036;31;1
2;1.114;151;8;887;92;1.020;86;1.438;768;26;1
1;995;103;6;796;66;1.159;72;1.287;587;23;1
1;927;55;4;700;50;1.285;53;1.189;452;25;1
1;1.002;104;5;754;70;1.189;65;1.260;470;27;1
1;987;116;4;727;73;1.213;70;1.244;502;28;1
1;993;93;4;714;77;1.217;75;1.238;516;31;1
1;1.012;93;5;746;86;1.174;86;1.301;555;35;1
2;1.114;155;6;823;93;1.068;94;1.357;671;40;1
2;1.093;115;6;789;105;1.102;103;1.329;788;43;1
1;968;75;3;669;67;1.261;81;1.246;538;47;1
1;960;65;3;666;63;1.266;80;1.224;544;47;1
1;942;57;3;648;63;1.300;77;1.204;500;47;1
1;888;40;2;598;46;1.396;58;1.156;417;48;1
1;818;27;1;524;21;1.588;31;1.071;341;46;1
1;840;23;1;509;22;1.643;38;1.076;352;47;1
1;894;28;1;524;-200;1.557;-200;1.095;397;48;1
1;864;21;1;516;39;1.496;59;1.153;502;47;1
1;898;33;2;559;55;1.441;70;1.180;648;51;1
1;946;40;3;643;76;1.309;75;1.232;760;51;1
3;1.309;279;14;1.125;181;844;103;1.687;1.183;57;1
4;1.326;743;20;1.289;259;714;134;1.806;1.431;44;1
2;966;147;6;786;118;1.111;98;1.258;705;38;1
